,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,pypi_latest_release_published_at,pypi_dependent_project_count,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,updated_github_id,gitlab_id,gitlab_url
89,PowerGenome,data,"['gha', 'pypi', 'conda', 'python']",,PowerGenome/PowerGenome,MIT,Create inputs for power systems models.,https://github.com/PowerGenome/PowerGenome,https://groups.io/g/powergenome,2019-07-18 17:33:40,2026-03-23 16:25:55.000000,2026-02-13 15:59:24,1825.0,75.0,95.0,233.0,18.0,16,True,https://github.com/PowerGenome/PowerGenome/wiki,19.0,261.0,101.0,2025-03-21 18:14:51.000,0.7.0,20.0,1.0,PowerGenome,conda-forge/powergenome,,131.0,,,https://pypi.org/project/PowerGenome,76.0,https://anaconda.org/conda-forge/powergenome,2025-04-22 14:58:55.013,1511.0,3.0,,,,,,,,,,,
90,PowerSimulationsDynamics.jl,phasor,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerSimulationsDynamics.jl,BSD-3,Dynamic Power System simulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerSimulationsDynamics.jl,https://www.nlr.gov/analysis/sienna,2020-07-16 19:36:16,2026-03-31 20:07:33.000000,2025-11-10 05:50:54,2415.0,54.0,51.0,216.0,16.0,16,True,https://nrel-sienna.github.io/PowerSimulationsDynamics.jl/stable,9.0,252.0,94.0,2025-07-09 18:08:11.000,0.15.0,42.0,,,,,,,,,,,,,2.0,,,,,,,,,,,
91,UnitCommitment.jl,steady-state,"['julia', 'gha', 'lab']",,ANL-CEEESA/UnitCommitment.jl,BSD-3,Optimization package for the Security-Constrained Unit Commitment Problem.,https://github.com/ANL-CEEESA/UnitCommitment.jl,https://github.com/ANL-CEEESA/UnitCommitment.jl,2020-05-13 15:18:42,2026-04-02 12:04:06.000000,2026-04-02 12:03:41,485.0,35.0,,138.0,7.0,16,True,https://anl-ceeesa.github.io/UnitCommitment.jl/,7.0,29.0,9.0,2025-11-27 15:16:26.000,0.4.2,9.0,115.0,,,,,,,,,,,,3.0,,,,,,,,,,,
92,CIMpy,intf,"['gha', 'pypi', 'python', 'non-profit']",,sogno-platform/cimpy,MPL-2.0,CIM files to the XML/RDF format.,https://github.com/sogno-platform/cimpy,https://github.com/sogno-platform/cimpy,2020-01-29 08:22:48,2025-03-09 07:52:14.000000,2025-02-23 21:37:23,230.0,25.0,3.0,71.0,10.0,16,True,https://sogno.energy/cimpy/,3.0,27.0,12.0,2025-03-09 07:52:14.000,1.2.0,1.0,,cimpy,,,1238.0,13.0,13.0,https://pypi.org/project/cimpy,1238.0,,,,2.0,,,,,,,,,,,
93,Easy SimAuto,intf,"['pypi', 'python', 'university']",,mzy2240/ESA,Apache-2,Python interface to PowerWorld.,https://github.com/mzy2240/ESA,https://github.com/mzy2240/ESA,2019-10-08 21:37:23,2025-12-31 17:47:22.000000,2025-12-31 17:47:22,667.0,16.0,19.0,52.0,13.0,16,True,https://mzy2240.github.io/ESA/html/index.html,4.0,19.0,85.0,2023-06-05 21:18:51.000,1.3.5,15.0,,esa,,,1723.0,9.0,9.0,https://pypi.org/project/esa,1723.0,,,,2.0,,,,,,,,,,,
94,AltDSS/DSS C-API,intf,"['gha', 'volunteer']",,dss-extensions/dss_capi,BSD-3,a plain C interface to OpenDSS.,https://github.com/dss-extensions/dss_capi,https://dss-extensions.org/,2017-12-18 14:45:11,2026-02-26 04:44:09.000000,2024-07-11 18:58:44,2411.0,16.0,13.0,38.0,8.0,16,True,https://dss-extensions.org/dss-extensions/pascal/,7.0,12.0,106.0,2024-03-29 04:28:39.000,0.14.5,73.0,,,,33317.0,339.0,,,,,,,,2.0,,,,,,,,,,,
95,matpower-pip,intf,"['gha', 'pypi', 'python', 'university']",,yasirroni/matpower-pip,MIT,Easy Python Access to MATPOWER.,https://github.com/yasirroni/matpower-pip,https://github.com/yasirroni/matpower-pip,2021-12-27 15:47:13,2026-04-02 06:24:46.000000,2026-04-02 06:24:06,224.0,3.0,6.0,26.0,2.0,16,True,,2.0,15.0,15.0,2026-02-25 05:22:02.000,2.3.0,4.0,14.0,matpower,,,737.0,11.0,11.0,https://pypi.org/project/matpower,737.0,,,,2.0,,,,,,,,,,,
96,Clarabel.jl,ops,"['gha', 'julia', 'university']",,oxfordcontrol/Clarabel.jl,Apache-2,Interior-point solver for convex conic optimisation in Julia.,https://github.com/oxfordcontrol/Clarabel.jl,https://github.com/oxfordcontrol/Clarabel.jl,2021-11-09 14:28:22,2026-03-07 03:36:05.000000,2025-08-25 13:49:06,915.0,27.0,12.0,258.0,12.0,15,True,https://clarabel.org,4.0,154.0,62.0,2025-05-23 18:28:14.000,0.11.0,17.0,,,,,,,,,,,,,3.0,,,,,,,,,,,
97,RTS-GMLC,data,['lab'],,GridMod/RTS-GMLC,DOE/NREL/ALLIANCE data use disclaimer agreement,Reliability Test System dataset for Grid Modernization Lab Consortium studies.,https://github.com/GridMod/RTS-GMLC,https://github.com/GridMod/RTS-GMLC,2017-01-13 22:10:37,2025-10-23 02:49:18.000000,2025-10-23 02:33:26,505.0,93.0,28.0,228.0,31.0,15,True,,21.0,37.0,97.0,2025-10-23 02:49:18.000,0.2.3,5.0,,,,,,,,,,,,,3.0,,,,,,,,,,,
98,EGRET,steady-state,"['gha', 'python', 'lab']",,grid-parity-exchange/Egret,BSD,Tools for Power Systems Optimization Modeling.,https://github.com/grid-parity-exchange/Egret,https://github.com/grid-parity-exchange/Egret,2019-01-28 18:41:03,2026-01-22 20:31:18.000000,2026-01-22 20:31:18,1103.0,60.0,49.0,157.0,41.0,15,True,,13.0,247.0,38.0,2025-10-06 15:54:54.000,0.6.0,7.0,3.0,,,,,,,,,,,,3.0,,,,,,,,,,,
