,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,pypi_latest_release_published_at,pypi_dependent_project_count,updated_github_id,gitlab_id,gitlab_url
102,powerfactory-tools,intf,"['pypi', 'python', 'university', 'jupyter', 'gha']",,ieeh-tu-dresden/powerfactory-tools,BSD-3,Python toolbox for control of DIgSILENT PowerFactory.,https://github.com/ieeh-tu-dresden/powerfactory-tools,https://github.com/ieeh-tu-dresden/powerfactory-tools,2022-08-31 07:29:54,2026-04-10 17:01:04.000000,2026-04-02 18:33:59,156.0,9.0,23.0,47.0,3.0,15,True,,2.0,134.0,169.0,2025-12-03 08:59:32.000,3.3.1,24.0,1.0,ieeh-powerfactory-tools,,376.0,260.0,2.0,2.0,https://pypi.org/project/ieeh-powerfactory-tools,252.0,,,,2.0,,,,,,,,,,,
103,LTB AMS,steady-state,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'university']",,CURENT/ams,GPL-3,Scheduling Modeling and Simulation; CURENT LTB.,https://github.com/CURENT/ams,https://ltb.curent.org/,2022-10-05 11:57:30,2025-12-23 10:31:01.925000,2025-12-23 09:01:24,2805.0,8.0,13.0,24.0,4.0,15,True,https://ams.readthedocs.io/en/latest/,2.0,183.0,11.0,2025-12-23 09:07:56.000,1.1.1,40.0,,ltbams,conda-forge/ltbams,94.0,1210.0,3.0,3.0,https://pypi.org/project/ltbams,82.0,https://anaconda.org/conda-forge/ltbams,2025-12-23 10:31:01.925,29231.0,3.0,,,,,,,2025-12-23 09:07:30.000,,,,
104,KVXOPT,opl,"['gha', 'pypi', 'conda', 'python', 'volunteer']",,sanurielf/kvxopt,GPL-3,CVXOPT with more wrappers suite-sparse.,https://github.com/kvxopt/kvxopt,https://github.com/kvxopt/kvxopt,2014-03-17 19:08:31,2026-02-23 01:41:18.388000,2026-02-22 21:51:53,326.0,1.0,,13.0,16.0,15,True,https://sanurielf.github.io/kvxopt/userguide/,2.0,11.0,7.0,2026-02-22 22:10:03.000,1.3.3.1,21.0,13.0,kvxopt,conda-forge/kvxopt,5.0,12489.0,32.0,32.0,https://pypi.org/project/kvxopt,4570.0,https://anaconda.org/conda-forge/kvxopt,2026-02-23 01:41:18.388,427654.0,3.0,,,,,,,,,kvxopt/kvxopt,,
105,ReEDS-2.0,steady-state,"['python', 'gha', 'lab']",,NatLabRockies/ReEDS-2.0,GPL-3,Capacity planning and dispatch model.,https://github.com/NatLabRockies/ReEDS-2.0,https://www.nlr.gov/analysis/reeds/,2019-05-28 15:57:01,2026-04-10 21:29:43.000000,2026-03-26 20:28:37,120.0,81.0,7.0,174.0,14.0,14,True,https://docs.nlr.gov/docs/fy21osti/78195.pdf,130.0,53.0,25.0,2026-03-26 21:04:48.000,2026.03.17,18.0,6.0,,,,,,,,,,,,3.0,,,,,,,,,,,
106,Xyce,phasor,"['pypi', 'conda', 'jupyter', 'python', 'lab']",,Xyce/Xyce,GPL-3,The Xyce Parallel Electronic Simulator.,https://github.com/Xyce/Xyce,https://xyce.sandia.gov/,2019-05-09 15:56:12,2026-04-06 16:31:51.000000,2026-04-06 14:12:59,284.0,15.0,43.0,130.0,8.0,14,True,https://xyce.sandia.gov/documentation-tutorials/,13.0,13.0,78.0,2025-07-21 19:17:59.000,Release-7.10.0,14.0,33.0,xyce,vlsida-eda/xyce,1120.0,151.0,,,https://pypi.org/project/xyce,18.0,https://anaconda.org/vlsida-eda/xyce,2025-03-25 16:27:12.035,4693.0,3.0,,,,,,,,,,,
107,PyDSS,intf,"['gha', 'pypi', 'python', 'lab']",,NatLabRockies/PyDSS,BSD-3,A Python wrapper for OpenDSS.,https://github.com/NatLabRockies/PyDSS,https://www.nlr.gov/grid/pydss,2018-10-16 15:59:07,2026-04-15 00:40:15.000000,2026-01-26 16:52:51,959.0,27.0,13.0,41.0,23.0,14,True,https://natlabrockies.github.io/PyDSS/index.html,5.0,123.0,16.0,2024-05-29 18:05:37.000,3.1.7,21.0,1.0,pydss,,,50.0,2.0,2.0,https://pypi.org/project/pydss,50.0,,,,2.0,,,,,,,,,,,
108,PowerGraphics.jl,vis,"['gha', 'julia', 'jupyter', 'lab']",,NREL-Sienna/powergraphics.jl,BSD-3,Visualization for PowerSimulations; NREL Sienna.,https://github.com/NREL-Sienna/PowerGraphics.jl,https://www.nlr.gov/analysis/sienna,2020-02-19 23:29:27,2026-03-25 18:01:50.000000,2025-12-08 14:58:17,607.0,17.0,18.0,33.0,11.0,14,True,https://nrel-sienna.github.io/PowerGraphics.jl/stable/,7.0,89.0,24.0,2025-12-08 15:22:55.000,0.21.0,44.0,,,,,,,,,,,,,3.0,,,,,,,,,,,
109,AltDSS-Python,intf,"['pypi', 'python', 'jupyter']",,dss-extensions/AltDSS-Python,BSD-3,Modern Python bindings for an alternative implementation of OpenDSS.,https://github.com/dss-extensions/AltDSS-Python,https://dss-extensions.org/,2023-11-10 01:17:41,2026-02-27 03:29:40.000000,2024-03-29 05:44:37,466.0,2.0,6.0,18.0,,14,False,https://dss-extensions.org/AltDSS-Python/,2.0,1.0,6.0,2024-03-29 06:29:57.000,0.2.4,2.0,,altdss,,,1444.0,14.0,14.0,https://pypi.org/project/altdss,1444.0,,,,2.0,,,,,,,,,,,
110,PowerSystems,phasor,"['modelica', 'non-profit']",,modelica-3rdparty/PowerSystems,Modelica License 2,Modelica 3rd party library for electrical power systems.,https://github.com/modelica-3rdparty/PowerSystems,https://github.com/modelica-3rdparty/PowerSystems,2013-04-19 08:46:45,2024-05-07 09:11:07.000000,2024-05-07 08:58:45,190.0,36.0,14.0,77.0,10.0,13,True,https://build.openmodelica.org/Documentation/PowerSystems.html,29.0,17.0,27.0,2024-05-07 09:11:07.000,2.0.0,7.0,,,,,,,,,,,,,3.0,,,,,,,,,,,
111,EnergyDataModel,data,"['pypi', 'python', 'jupyter', 'for-profit']",,rebase-energy/EnergyDataModel,MIT,Represent energy systems as Python data classes.,https://github.com/rebase-energy/EnergyDataModel,https://www.energydatamodel.org/,2023-12-23 11:12:27,2026-04-16 14:07:51.000000,2026-04-16 14:07:51,105.0,6.0,2.0,74.0,6.0,13,True,https://docs.energydatamodel.org/en/latest/,4.0,4.0,,2025-10-05 07:52:33.000,0.0.4,4.0,8.0,energydatamodel,,,151.0,2.0,,https://pypi.org/project/energydatamodel,151.0,,,,3.0,,,,,,,2025-10-05 07:52:33.000,2.0,,,
