,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,gitlab_id,gitlab_url
80,GridPACK,phasor,"['c', 'gha', 'python', 'lab']",,GridOPTICS/GridPACK,BSD-3,High-Performance Electric Grid Simulation.,https://github.com/GridOPTICS/GridPACK,https://gridpack.pnnl.gov/wiki/index.php/Main_Page,2014-07-22 21:01:57,2026-04-09 02:44:09.000000,2026-04-09 02:44:09,3315.0,23.0,18.0,61.0,58.0,18,True,https://github.com/GridOPTICS/GridPACK/wiki,15.0,123.0,119.0,2026-03-24 15:40:43.000,3.6,7.0,113.0,,,654.0,5.0,,,,,,,,,,2.0,,,,,,,,,
81,openTEPES,steady-state,"['pypi', 'python', 'jupyter', 'gha', 'university']",,IIT-EnergySystemModels/openTEPES,AGPL-3,"Open Generation, Storage, and Transmission Operation and Expansion Planning Model.",https://github.com/IIT-EnergySystemModels/openTEPES,https://github.com/IIT-EnergySystemModels/openTEPES,2020-07-24 21:11:41,2026-04-09 12:43:30.000000,2026-04-09 12:43:25,3344.0,28.0,4.0,54.0,10.0,18,True,https://opentepes.readthedocs.io/en/latest/index.html,4.0,93.0,13.0,2026-02-06 11:39:00.000,4.18.14,116.0,179.0,openTEPES,,120.0,468.0,,,https://pypi.org/project/openTEPES,2026-02-24 11:07:01.000,,467.0,,,,2.0,,,,,,,,,
82,Prescient,steady-state,"['gha', 'pypi', 'python']",,grid-parity-exchange/Prescient,BSD-3,Production cost modeling for power generation and distribution networks.,https://github.com/grid-parity-exchange/Prescient,https://github.com/grid-parity-exchange/Prescient,2020-06-02 22:42:14,2025-10-06 15:33:27.000000,2025-10-06 15:33:26,263.0,16.0,20.0,40.0,11.0,18,True,https://prescient.readthedocs.io/,7.0,123.0,47.0,2023-04-04 01:34:03.331,2.2.2,5.0,,gridx-prescient,,,21925.0,13.0,11.0,https://pypi.org/project/gridx-prescient,2022-12-16 02:39:33.564,2.0,21925.0,,,,2.0,,,,,,,,,
83,PowerNetworkMatrices.jl,steady-state,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerNetworkMatrices.jl,BSD-3,Power systems matrices; NREL Sienna.,https://github.com/NREL-Sienna/PowerNetworkMatrices.jl,https://www.nlr.gov/analysis/sienna,2022-11-16 21:59:51,2026-04-09 19:11:36.000000,2026-04-09 19:04:19,1293.0,21.0,39.0,30.0,14.0,18,True,https://nrel-sienna.github.io/PowerNetworkMatrices.jl/stable/,4.0,168.0,78.0,2026-03-30 04:23:08.000,0.19.1,40.0,130.0,,,,,,,,,,,,,,2.0,,,,,,,,,
84,PowerFlows.jl,steady-state,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerFlows.jl,BSD-3,Collection of Power Flow solution; NREL Sienna.,https://github.com/NREL-Sienna/PowerFlows.jl,https://www.nlr.gov/analysis/sienna,2022-03-08 18:40:14,2026-04-08 22:12:19.000000,2026-04-06 21:38:56,361.0,24.0,56.0,29.0,14.0,18,True,https://nrel-sienna.github.io/PowerFlows.jl/dev/,4.0,193.0,113.0,2026-03-16 15:03:34.000,0.16.1,25.0,191.0,,,,,,,,,,,,,,2.0,,,,,,,,,
85,ERAD,intf,"['gha', 'pypi', 'python', 'lab']",,NLR-Distribution-Suite/erad,BSD-3,Toolkit for computing resilience metrics for power distribution systems.,https://github.com/NLR-Distribution-Suite/erad,https://github.com/NLR-Distribution-Suite/erad,2022-10-20 18:16:38,2026-04-07 20:56:05.000000,2026-04-07 20:54:07,227.0,11.0,5.0,21.0,7.0,18,True,https://nlr-distribution-suite.github.io/erad/,6.0,75.0,,2026-04-07 20:55:19.000,0.1.11,15.0,63.0,NREL-erad,,,238.0,3.0,3.0,https://pypi.org/project/NREL-erad,2026-04-07 20:55:19.000,,238.0,,,,2.0,,,,,,,,,
86,GenX,steady-state,"['julia', 'gha', 'university']",,GenXProject/GenX,GPL-2.0,Configurable capacity expansion model.,https://github.com/GenXProject/GenX.jl,https://energy.mit.edu/genx/,2021-05-19 17:57:57,2026-03-26 19:56:58.000000,2026-01-09 19:17:31,1135.0,141.0,64.0,350.0,37.0,17,True,https://genxproject.github.io/GenX/dev/,18.0,571.0,262.0,2025-07-11 18:02:01.000,0.4.5,17.0,,,,,,,,,,,,,,,3.0,,,,,,,GenXProject/GenX.jl,,
87,RSOME,opl,"['gha', 'pypi', 'jupyter', 'python', 'university']",,XiongPengNUS/rsome,GPL-3,Robust Stochastic Optimization Made Easy.,https://github.com/XiongPengNUS/rsome,https://github.com/XiongPengNUS/rsome,2020-07-26 13:00:05,2024-11-15 13:40:52.000000,2024-11-15 13:40:10,218.0,59.0,7.0,343.0,3.0,17,True,https://xiongpengnus.github.io/rsome/,3.0,21.0,38.0,2024-06-25 13:42:14.000,1.3.0,34.0,,rsome,,,1330.0,4.0,,https://pypi.org/project/rsome,2024-10-29 06:05:15.000,4.0,1330.0,,,,3.0,,,,,,,,,
88,CIMpy,intf,"['gha', 'pypi', 'python', 'non-profit']",,sogno-platform/cimpy,MPL-2.0,CIM files to the XML/RDF format.,https://github.com/sogno-platform/cimpy,https://github.com/sogno-platform/cimpy,2020-01-29 08:22:48,2025-03-09 07:52:14.000000,2025-02-23 21:37:23,230.0,25.0,5.0,71.0,10.0,17,True,https://sogno.energy/cimpy/,4.0,27.0,12.0,2025-03-09 07:52:14.000,1.2.0,9.0,,cimpy,,,1161.0,14.0,13.0,https://pypi.org/project/cimpy,2024-06-20 20:41:41.000,1.0,1161.0,,,,2.0,,,,,,,,,
89,Easy SimAuto,intf,"['pypi', 'python', 'university']",,mzy2240/ESA,Apache-2,Python interface to PowerWorld.,https://github.com/mzy2240/ESA,https://github.com/mzy2240/ESA,2019-10-08 21:37:23,2025-12-31 17:47:22.000000,2025-12-31 17:47:22,667.0,16.0,19.0,52.0,13.0,17,True,https://mzy2240.github.io/ESA/html/index.html,4.0,19.0,85.0,2023-06-05 21:19:00.512,1.3.5,52.0,,esa,,,1833.0,10.0,9.0,https://pypi.org/project/esa,2023-06-05 21:19:00.512,1.0,1833.0,,,,2.0,,,,,,,,,
