,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,paper_id,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,paper_cited_by_count,recent_commit_count,julia_id,pypi_id,conda_id,github_release_downloads,monthly_downloads,pypi_url,pypi_latest_release_published_at,dependent_project_count,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,julia_url,julia_monthly_downloads,julia_total_downloads,upstream_projectrank,julia_adjustment,citation_adjustment,bestps_adjustment,projectrank_placing,github_dependent_project_count,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,gitlab_id,gitlab_url
117,DOPER,steady-state,"['python', 'gha', 'lab']",,LBNL-ETA/DOPER,BSD-3,Distributed Optimal and Predictive Energy Resources.,https://github.com/LBNL-ETA/DOPER,https://github.com/LBNL-ETA/DOPER,2019-02-05 16:36:15,2026-08-19 18:01:57.000000,2026-08-19 18:00:54,165.0,12.0,,25.0,3.0,14,True,,,1.0,5.0,,2026-08-19 18:01:57.000,2.6.1,48.0,,54.0,,,,,,,,,,,,,,,,,14.0,0.0,0.0,0.0,3.0,,,,,,,,,,
118,KVXOPT,ops,"['python', 'c', 'gha']",,kvxopt/kvxopt,GPL-3,CVXOPT with additional SuiteSparse wrappers.,https://github.com/kvxopt/kvxopt,https://github.com/kvxopt/kvxopt,2014-03-17 19:08:31,2026-08-11 03:27:40.498000,2026-02-22 21:51:53,326.0,1.0,,13.0,16.0,14,True,,https://sanurielf.github.io/kvxopt/userguide/,2.0,11.0,7.0,2026-02-22 22:10:03.000,1.3.3.1,24.0,,,,kvxopt,conda-forge/kvxopt,8.0,15884.0,https://pypi.org/project/kvxopt,2026-02-22 22:26:50.000,49.0,14.0,7396.0,https://anaconda.org/conda-forge/kvxopt,2026-08-11 03:27:40.498,492355.0,,,,14.0,0.0,0.0,0.0,3.0,35.0,,,,,,,,,
119,LTB DiME,msg,"['c', 'university']",,CURENT/dime,GPL-3,Distributed Messaging Environment; CURENT LTB.,https://github.com/CURENT/dime,https://ltb.curent.org/,2020-04-29 20:36:10,2023-07-31 21:24:25.000000,2023-07-31 21:24:15,531.0,2.0,13.0,4.0,4.0,14,False,"['arXiv:2211.11990', '10.1109/MPE.2019.2959054', '10.1109/TPWRS.2020.3017019']",https://ltbdime.readthedocs.io/en/latest/,4.0,11.0,35.0,,,,137.0,,,,,,,,,,,,,,,,,,7.0,0.0,7.227,7.0,1.0,,,,,,,,,,
120,PowerSystems,electro-mechanical,"['modelica', 'non-profit']",,modelica-3rdparty/PowerSystems,Modelica License 2,Modelica 3rd party library for electrical power systems.,https://github.com/modelica-3rdparty/PowerSystems,https://github.com/modelica-3rdparty/PowerSystems,2013-04-19 08:46:45,2024-05-07 09:11:07.000000,2024-05-07 08:58:45,190.0,37.0,14.0,79.0,10.0,13,False,,https://build.openmodelica.org/Documentation/PowerSystems.html,29.0,17.0,27.0,2024-05-07 09:11:07.000,2.0.0,7.0,,,,,,,,,,,,,,,,,,,13.0,0.0,0.0,0.0,3.0,,,,,,,,,,
121,grg-pssedata,dataman,"['python', 'lab']",,lanl-ansi/grg-pssedata,BSD-3,Python tools for working with PSSE v33 data files.,https://github.com/lanl-ansi/grg-pssedata,https://github.com/lanl-ansi/grg-pssedata,2018-05-26 20:24:25,2020-12-15 03:35:19.000000,2020-12-14 22:39:36,35.0,16.0,3.0,35.0,3.0,13,False,,https://grg-pssedata.readthedocs.io/en/stable/,5.0,5.0,10.0,2020-12-15 03:35:19.000,0.1.4,7.0,,,,grg-pssedata,,,179.0,https://pypi.org/project/grg-pssedata,2020-12-15 03:35:19.000,8.0,1.0,179.0,,,,,,,13.0,0.0,0.0,0.0,3.0,7.0,,,,,,,,,
122,AltDSS-Python,intf,"['python', 'community']",,dss-extensions/AltDSS-Python,BSD-3,Modern Python bindings for an alternative implementation of OpenDSS.,https://github.com/dss-extensions/AltDSS-Python,https://dss-extensions.org/,2023-11-10 01:17:41,2026-02-27 03:29:40.000000,2024-03-29 05:44:37,466.0,2.0,6.0,18.0,,13,False,,https://dss-extensions.org/AltDSS-Python/,2.0,1.0,6.0,2024-03-29 06:29:57.000,0.2.4,12.0,,,,altdss,,,1689.0,https://pypi.org/project/altdss,2026-02-26 06:44:21.000,21.0,5.0,1689.0,,,,,,,13.0,0.0,0.0,0.0,3.0,16.0,,,,,,,,,
123,OpenDER,electro-mechanical,"['python', 'non-profit']",,epri-dev/OpenDER,BSD-3,Inverter-based DER simulation.,https://github.com/epri-dev/OpenDER,https://www.epri.com/OpenDER,2022-04-26 22:09:28,2025-06-23 15:15:40.000000,2025-04-15 17:33:02,125.0,29.0,,73.0,2.0,12,True,,,18.0,14.0,1.0,2025-04-15 17:34:05.000,2.2,15.0,,,,opender,,,3134.0,https://pypi.org/project/opender,2025-04-13 13:19:28.000,3.0,,3134.0,,,,,,,12.0,0.0,0.0,0.0,3.0,3.0,,,,,,,,,
124,PSST,steady-state,"['python', 'gha', 'university']",,ames-market/psst,AMES License,Power System Simulation Toolbox for SCUC and SCED in electricity market simulation.,https://github.com/ames-market/psst,https://github.com/ames-market/psst,2016-05-09 03:47:40,2023-02-08 00:45:06.000000,2022-02-08 04:40:44,48.0,29.0,13.0,45.0,7.0,12,False,,https://psst.readthedocs.io/,7.0,15.0,,2020-11-24 19:24:03.000,0.1.9,12.0,,,,psst,,,26.0,https://pypi.org/project/psst,2020-11-24 19:24:03.000,7.0,,26.0,,,,,,,12.0,0.0,0.0,0.0,3.0,7.0,,,,,,,,,
125,ExaGO,steady-state,"['cpp', 'gha', 'lab']",,ORNL/ExaGO,BSD-3,Large-scale power grid optimization.,https://github.com/ORNL/ExaGO,https://www.gridpath.io/,2026-01-08 18:30:14,2026-08-25 20:34:23.000000,2026-08-20 19:22:56,1201.0,8.0,11.0,15.0,37.0,12,True,,https://github.com/pnnl/ExaGO/blob/develop/docs/manual/manual.pdf,1.0,54.0,6.0,2026-05-21 23:25:21.000,2.0.0,1.0,,4.0,,,,,,,,,,,,,,,,,12.0,0.0,0.0,0.0,3.0,,,,,,,,,,
126,LTB AGVis,vis,"['python', 'gha', 'university']",,CURENT/agvis,GPL-3,Geographical Visualization for Power Grid; CURENT LTB.,https://github.com/CURENT/agvis,https://ltb.curent.org/,2019-08-30 19:15:27,2026-03-09 19:00:59.000000,2026-03-09 18:54:56,505.0,6.0,9.0,10.0,12.0,12,True,10.1109/NAPS58826.2023.10318583,https://agvis.readthedocs.io/en/latest/,1.0,49.0,16.0,2024-06-07 18:28:30.000,4.0.0,2.0,5.0,,,agvis,,20.0,22.0,https://pypi.org/project/agvis,2024-06-07 18:28:30.000,3.0,,22.0,,,,,,,11.0,0.0,1.288,1.0,3.0,3.0,,,,,,,,,
127,OpenHybridSim,cosim,"['java', 'university']",,OpenHybridSim/OpenHybridSim-code,BSD-3,EMT-TS hybrid simulation.,https://github.com/OpenHybridSim/OpenHybridSim-code,https://github.com/OpenHybridSim/OpenHybridSim-code,2015-01-17 03:59:14,2020-05-05 20:35:13.000000,2020-05-05 20:35:12,16.0,5.0,1.0,8.0,,12,False,"['10.1109/TPWRS.2015.2479588', '10.1109/PESGM.2016.7741233']",,5.0,,,,,,107.0,,,,,,,,,,,,,,,,,,6.0,0.0,6.347,6.0,3.0,,,,,,,,,,
128,hynet,steady-state,"['python', 'university']",,,BSD-3,Optimal power flow framework for hybrid AC/DC power systems.,,http://www.msv.ei.tum.de/,2018-10-04 13:52:00,2021-05-02 21:21:33.000000,,,0.0,,4.0,,12,False,10.1109/TPWRS.2019.2942988,https://hynet.readthedocs.io/en/latest/,,,,2021-05-02 21:21:33.000,1.2.3,20.0,38.0,,,hynet,,,21.0,https://pypi.org/project/hynet,2021-05-02 21:21:33.000,,,21.0,,,,,,,7.0,0.0,4.618,5.0,3.0,,,,,,,,,tum-msv/hynet,https://gitlab.com/tum-msv/hynet
129,PowerSystemsInvestmentsPortfolios.jl,dataman,"['julia', 'gha', 'lab']",,Sienna-Platform/PowerSystemsInvestmentsPortfolios.jl,BSD-3,Data models for Power Systems investment models; NREL Sienna.,https://github.com/Sienna-Platform/PowerSystemsInvestmentsPortfolios.jl,https://www.nlr.gov/analysis/sienna,2024-02-29 21:31:12,2026-08-27 16:06:57.000000,2026-08-06 19:24:34,45.0,9.0,15.0,13.0,8.0,11,True,,https://nrel-sienna.github.io/PowerSystemsInvestmentsPortfolios.jl/stable,3.0,47.0,57.0,2026-01-25 17:32:26.000,0.1.0,1.0,,8.0,PowerSystemsInvestmentsPortfolios,,,,,,,,,,,,,https://juliahub.com/ui/Packages/General/PowerSystemsInvestmentsPortfolios,6.0,27.0,10.0,1.099,0.0,1.0,3.0,,,,,,,,,,
130,MPNG,gasnet,"['matlab', 'university']",,MATPOWER/mpng,BSD-3,Simulator for Optimal Power and Natural Gas Flow.,https://github.com/MATPOWER/mpng,https://matpower.org/,2019-09-27 19:49:43,2023-09-13 12:15:23.000000,2023-09-13 12:15:23,65.0,5.0,,11.0,3.0,11,False,10.1109/TPWRS.2022.3195684,https://github.com/MATPOWER/mpng/blob/master/MPNG_User's_Manual/MPNG_Manual_V0.99a.pdf,3.0,2.0,,,,,20.0,,,,,,,,,,,,,,,,,,7.0,0.0,4.382,4.0,3.0,,,,,,,,,,
131,PyPSA MCP,llm,['python'],,open-energy-transition/pypsa-mcp,MIT,PyPSA Energy Modeling for LLMs.,https://github.com/open-energy-transition/pypsa-mcp,https://github.com/open-energy-transition/pypsa-mcp,2025-04-22 06:42:57,2026-03-20 04:15:27.000000,2026-03-20 03:26:26,39.0,9.0,,70.0,2.0,10,True,,,1.0,,,2026-03-20 04:15:27.000,0.2.0,5.0,,,,pypsamcp,,11.0,54.0,https://pypi.org/project/pypsamcp,2026-03-20 04:15:27.000,,,54.0,,,,,,,10.0,0.0,0.0,0.0,2.0,,,,,,,,,,
132,PyPSA-Distribution,steady-state,"['python', 'gha', 'community']",,pypsa-meets-earth/pypsa-distribution,GPL-3,Multi-energy model for small scale applications in high spatial and temporal resolution.,https://github.com/pypsa-meets-earth/pypsa-distribution,https://github.com/pypsa-meets-earth/pypsa-distribution,2022-05-29 15:03:11,2026-08-17 18:16:25.000000,2026-06-29 08:48:17,327.0,13.0,25.0,31.0,7.0,10,True,,https://pypsa-distribution.readthedocs.io/en/latest/,3.0,59.0,10.0,2025-12-31 18:44:21.000,0.0.2,2.0,,2.0,,,,,,,,,,,,,,,,,10.0,0.0,0.0,0.0,3.0,,,,,,,,,,
133,PowerSystemsInvestments.jl,steady-state,"['gha', 'julia', 'lab']",,Sienna-Platform/PowerSystemsInvestments.jl,BSD-3,Power Systems investment models; NREL Sienna.,https://github.com/Sienna-Platform/PowerSystemsInvestments.jl,https://www.nlr.gov/analysis/sienna,2024-02-29 21:28:33,2026-08-27 16:07:19.000000,2026-06-20 19:27:53,23.0,12.0,28.0,21.0,4.0,10,True,,https://nrel-sienna.github.io/PowerSystemsInvestments.jl/stable,4.0,29.0,6.0,,,,,3.0,PowerSystemsInvestments,,,,,,,,,,,,,https://juliahub.com/ui/Packages/General/PowerSystemsInvestments,0.0,0.0,9.0,1.0,0.0,1.0,3.0,,,,,,,,,,
