,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,trending,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,dockerhub_stars,updated_github_id,new_addition
0,Australian MV-LV Networks,data,"['jupyter', 'python', 'university']",True,Team-Nando/MV-LV-Networks,BSD-3,Large-scale three-phase Australian MV distribution networks with pseudo LV networks.,https://github.com/Team-Nando/MV-LV-Networks,https://github.com/Team-Nando/MV-LV-Networks,2024-03-26 03:29:17,2024-03-27 00:24:02.000000,2024-03-27 00:23:23,9.0,11.0,1.0,29.0,2.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Power Grid Lib - Optimal Power Flow,data,['non-profit'],True,power-grid-lib/pglib-opf,CC-BY-4.0,Benchmarks for OPF.,https://github.com/power-grid-lib/pglib-opf,https://power-grid-lib.github.io,2017-06-27 19:02:06,2023-07-24 16:17:02.000000,2023-07-24 16:12:04,15.0,94.0,15.0,389.0,1.0,0,True,https://arxiv.org/abs/1908.02788,24.0,11.0,23.0,2023-07-24 16:17:02.000,23.07,8.0,,,,,,,,,,,,,,,,,,,,,,,
2,Power Grid Lib - Unit Commitment,data,['non-profit'],True,power-grid-lib/pglib-uc,CC-BY-4.0,Benchmarks for UC.,https://github.com/power-grid-lib/pglib-uc,https://power-grid-lib.github.io,2019-08-02 23:31:34,2024-06-11 11:36:48.000000,2021-09-28 14:57:15,15.0,35.0,4.0,116.0,3.0,0,True,,4.0,2.0,1.0,2019-08-07 20:35:09.000,19.08,1.0,,,,,,,,,,,,,,,,,,,,,,,
3,Power Grid Lib - Optimal Power Flow with HVDC Lines,data,['non-profit'],True,power-grid-lib/pglib-opf-hvdc,CC-BY-4.0,Benchmarks for OPF with HVDC.,https://github.com/power-grid-lib/pglib-opf-hvdc,https://power-grid-lib.github.io,2019-08-05 18:59:16,2023-10-06 14:38:09.000000,2023-10-06 14:35:21,15.0,7.0,,24.0,2.0,0,True,https://ieeexplore.ieee.org/document/8636236,1.0,1.0,,2023-10-06 14:38:45.000,23.09,2.0,,,,,,,,,,,,,,,,,,,,,,,
4,WECC-and-NPCC-Electricity-Economic-Data,data,['university'],True,enliten/ENLITEN-Grid-Econ-Data,GPL-3,Economic data on WECC and NPCC.,https://github.com/enliten/ENLITEN-Grid-Econ-Data,https://github.com/enliten/ENLITEN-Grid-Econ-Data,2022-12-05 19:17:45,2024-06-04 17:21:48.000000,2024-06-04 17:21:47,42.0,2.0,,14.0,4.0,0,True,,2.0,,,2022-12-06 05:06:06.000,WECC-and-NPCC,1.0,,,,,,,,,,,,,,,,,,,,,,,
5,OpenDataElia,data,['non-profit'],True,,CC-BY-4.0,Data by opendatasoft.,,https://opendata.elia.be/pages/home/,,,,,,,,,0,True,https://help.opendatasoft.com/en/home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Data on Energy,data,['non-profit'],True,owid/energy-data,CC-BY,Data on energy by Our World in Data.,https://github.com/owid/energy-data,https://github.com/owid/energy-data,2020-09-08 15:21:25,2026-01-28 11:01:52.000000,2026-01-28 11:01:47,296.0,107.0,1.0,386.0,7.0,0,True,,13.0,42.0,10.0,,,,13.0,,,,,,,,,,,,,,,,,,,,,,
7,COVID-EMDA,data,"['python', 'university']",True,tamu-engineering-research/COVID-EMDA,MIT,Cross-Domain Data Hub with Data in USA.,https://github.com/tamu-engineering-research/COVID-EMDA,https://github.com/tamu-engineering-research/COVID-EMDA,2020-05-05 18:59:53,2024-04-23 16:12:16.000000,2024-04-23 16:11:59,986.0,22.0,1.0,60.0,5.0,0,True,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Electrical Signals Databases,data,['for-profit'],True,rte-france/digital-fault-recording-database,ODbL-1.0,Voltage and current samples from Digital Fault Recorder.,https://github.com/rte-france/digital-fault-recording-database,https://github.com/rte-france/digital-fault-recording-database,2024-05-27 07:22:44,2025-02-10 12:00:46.000000,2025-02-10 12:00:45,18.0,10.0,2.0,32.0,2.0,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A new power system benchmark,data,['lab'],True,lbl-hub/CSEE-Benchmark,,A new type of power system calculation example by the China EPRI.,https://github.com/lbl-hub/CSEE-Benchmark,https://github.com/lbl-hub/CSEE-Benchmark,2023-12-18 09:09:08,2025-06-21 05:29:58.000000,2025-06-21 05:29:47,176.0,9.0,,39.0,,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,pmuBAGE,data,['university'],True,NanpengYu/pmuBAGE,,Synthetic phasor measurement unit dataset.,https://github.com/NanpengYu/pmuBAGE,https://github.com/NanpengYu/pmuBAGE,2022-03-18 05:10:00,2022-04-07 00:15:41.000000,2022-04-07 00:15:41,18.0,2.0,1.0,9.0,2.0,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,PowerCyber Training,book,"['jupyter', 'gha', 'python', 'university']",True,PowerCyberTraining/powercybertraining.github.io,CC BY-NC-ND 4.0,PowerCyber Training modules source.,https://github.com/PowerCyberTraining/powercybertraining.github.io,https://powercybertraining.github.io,2024-02-16 22:06:15,2025-09-20 01:55:53.000000,2025-09-20 01:55:43,287.0,5.0,,11.0,8.0,0,True,,1.0,23.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
12,TextbookSimulations,book,"['julia', 'jupyter', 'university']",True,Power-Systems-Textbook/TextbookSimulations,CC0-1.0,Examples and problems accompanying Daniel Kirschens Power Systems Textbook.,https://github.com/Power-Systems-Textbook/TextbookSimulations,https://github.com/Power-Systems-Textbook/TextbookSimulations,2022-10-12 19:10:15,2023-11-08 22:54:41.000000,2023-11-08 22:54:34,56.0,3.0,,12.0,2.0,0,True,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,UTK ECE 522 - Power System Analysis II,book,"['python', 'jupyter', 'university']",True,CURENT/ece522,MIT,Hands-on Project for Power System Analysis II (UTK ECE 522).,https://github.com/CURENT/ece522,https://github.com/CURENT/ece522,2023-01-18 03:35:44,2025-11-12 23:01:36.000000,2025-11-12 23:01:36,15.0,2.0,,6.0,4.0,0,True,,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,ELEC0447 Analysis of Electric Power and Energy Systems,book,"['python', 'jupyter', 'university']",True,bcornelusse/ELEC0447-analysis-power-systems,BSD-2.0,Masters course of power systems analysis at ULige.,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,https://github.com/bcornelusse/ELEC0447-analysis-power-systems,2020-06-17 14:45:34,2025-12-08 12:26:50.000000,2025-12-08 12:26:50,335.0,9.0,1.0,23.0,6.0,0,True,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Tutorial on DER Hosting Capacity Part 0,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,BSD-3.0,Using dss_python.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-0-dss_python,2022-11-30 04:16:00,2024-12-09 04:10:44.000000,2024-12-09 04:10:38,45.0,4.0,,5.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Tutorial on DER Hosting Capacity Part 1,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,BSD-3.0,Advanced Tools for the Analysis of Three-Phase Unbalanced LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-1-AdvancedTools_LV,2023-03-09 03:28:07,2025-03-25 01:08:53.000000,2025-03-25 01:08:48,33.0,3.0,,5.0,5.0,0,True,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Tutorial on DER Hosting Capacity Part 2,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,BSD-3.0,Time-Series Analysis and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-2-TimeSeries_LV,2022-12-01 03:15:41,2025-03-25 01:02:03.000000,2025-03-25 01:02:01,40.0,1.0,,2.0,6.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Tutorial on DER Hosting Capacity Part 3,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,BSD-3.0,Volt-Watt Control and PV Hosting Capacity of LV Networks.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-3-VoltWatt_LV,2023-05-29 06:17:07,2025-03-31 02:33:02.000000,2025-03-31 02:32:56,19.0,,,1.0,4.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Tutorial on DER Hosting Capacity Part 4,book,"['jupyter', 'python', 'university']",True,Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,BSD-3.0,Monte Carlo Assessment of PV Hosting Capacity of an Integrated MV-LV Network.,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,https://github.com/Team-Nando/Tutorial-DERHostingCapacity-4-MonteCarlo_MV-LV,2023-05-29 23:51:23,2024-12-09 03:42:30.000000,2024-12-09 03:42:26,27.0,2.0,,2.0,5.0,0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,LTB Demo,book,"['jupyter', 'python', 'university']",True,CURENT/demo,MIT,Ready-to-use LTB usage examples.,https://github.com/CURENT/demo,https://ltb.curent.org,2023-03-28 15:37:01,2025-11-10 14:41:32.000000,2025-11-10 14:40:05,220.0,1.0,,4.0,4.0,0,True,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
21,OR-Tools,ops,"['gha', 'python', 'cpp', 'java', 'for-profit']",,google/or-tools,Apache-2,Google Optimization Tools.,https://github.com/google/or-tools,https://developers.google.com/optimization/,2015-02-21 01:25:35,2026-03-23 17:29:01.000000,2026-03-19 12:10:38,15811.0,2364.0,88.0,13257.0,201.0,40,True,https://developers.google.com/optimization/introduction,308.0,730.0,3116.0,2026-01-14 15:37:43.000,9.15.6755,83.0,32.0,ortools,conda-forge/ortools-python,314468.0,3945919.0,756.0,367.0,https://pypi.org/project/ortools,2026-01-14 15:37:43.000,389.0,3940653.0,https://anaconda.org/conda-forge/ortools-python,2025-04-22 14:58:03.564,146915.0,1.0,,,,,,,,
22,CVXPY,opl,"['gha', 'pypi', 'conda', 'python', 'university']",,cvxpy/cvxpy,Apache-2,Convex optimization modeling language.,https://github.com/cvxpy/cvxpy,https://github.com/cvxpy/cvxpy,2013-07-01 23:48:58,2026-03-23 19:03:46.000000,2026-03-23 19:01:17,3879.0,1168.0,227.0,6149.0,250.0,40,True,http://www.cvxpy.org/,124.0,1466.0,1439.0,2026-03-22 21:53:53.000,1.8.2,147.0,123.0,cvxpy,conda-forge/cvxpy,778.0,3165573.0,19717.0,18782.0,https://pypi.org/project/cvxpy,2026-03-22 21:44:42.000,935.0,3136415.0,https://anaconda.org/conda-forge/cvxpy,2026-03-23 00:00:13.918,2011228.0,1.0,,,,,,,,
23,Pyomo,opl,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'lab']",,Pyomo/pyomo,BSD-3,Python-based Optimization Modeling Language.,https://github.com/Pyomo/pyomo,https://www.pyomo.org,2016-05-27 19:33:45,2026-03-20 19:01:08.000000,2026-03-20 19:01:07,29950.0,545.0,312.0,2421.0,193.0,40,True,https://pyomo.readthedocs.io/en/stable/,55.0,2384.0,1181.0,2026-02-20 21:39:09.000,6.10.0,51.0,627.0,Pyomo,conda-forge/pyomo,5566.0,1270973.0,4738.0,4738.0,https://pypi.org/project/Pyomo,,,1241204.0,https://anaconda.org/conda-forge/pyomo,2026-02-20 23:56:19.978,2046265.0,1.0,,,,,,,,
24,Xopt,ops,"['gha', 'python', 'pypi', 'conda', 'lab']",,google/or-tools,MPL-2.0,Flexible high-level optimization in Python.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2026-03-23 17:29:01.000000,2026-03-19 12:10:38,15811.0,2364.0,88.0,13257.0,201.0,36,True,https://xopt.xopt.org/index.html,308.0,730.0,3116.0,2026-03-09 17:43:22.000,3.0.0,52.0,32.0,xopt,conda-forge/xopt,314468.0,5522.0,374.0,367.0,https://pypi.org/project/xopt,2026-03-09 17:43:22.000,7.0,1762.0,https://anaconda.org/conda-forge/xopt,2026-03-20 15:36:59.850,74667.0,1.0,,,,,,,,
25,Tulip,ops,"['gha', 'julia', 'university']",,google/or-tools,MPL-2.0,Interior-point solver in pure Julia.,https://github.com/google/or-tools,https://github.com/google/or-tools,2015-02-21 01:25:35,2026-03-23 17:29:01.000000,2026-03-19 12:10:38,15811.0,2364.0,88.0,13257.0,201.0,35,True,https://ds4dm.github.io/Tulip.jl/stable/,308.0,730.0,3116.0,2026-01-12 15:38:30.000,9.15,52.0,32.0,,,314468.0,2495.0,367.0,367.0,,,,,,,,2.0,-1.0,,,,,,,
26,HiGHS,ops,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'c', 'julia', 'rust', 'r', 'cpp', 'university']",,ERGO-Code/HiGHS,MIT,Large-scale Sparse Linear Problem Optimizer.,https://github.com/ERGO-Code/HiGHS,https://highs.dev/,2018-03-27 13:57:58,2026-03-23 18:14:26.000000,2026-03-13 12:05:43,13825.0,292.0,155.0,1545.0,109.0,35,True,https://ergo-code.github.io/HiGHS/,34.0,1658.0,925.0,2026-02-11 16:37:46.000,1.13.1,22.0,360.0,highspy,conda-forge/highs,27297.0,1467669.0,138.0,,https://pypi.org/project/highspy,2026-02-11 16:37:46.000,138.0,1465396.0,https://anaconda.org/conda-forge/highs,2026-02-12 06:57:07.916,55631.0,2.0,,,,,,,,
27,pandapower,steady-state,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'university']",,e2nIEE/pandapower,BSD-3,Convenient Power System Modelling and Analysis.,https://github.com/e2nIEE/pandapower,https://www.pandapower.org/,2017-01-12 13:27:53,2026-03-23 13:50:45.000000,2026-03-23 13:50:45,10712.0,556.0,157.0,1128.0,184.0,35,True,https://pandapower.readthedocs.io/en/latest/,48.0,1660.0,973.0,2026-03-13 14:51:16.000,3.3.3,60.0,61.0,pandapower,conda-forge/pandapower,,239360.0,620.0,540.0,https://pypi.org/project/pandapower,2026-03-13 14:51:16.000,80.0,238786.0,https://anaconda.org/conda-forge/pandapower,2025-10-27 08:12:12.961,38441.0,1.0,,pauldepraz/pandapowerapi,https://hub.docker.com/r/pauldepraz/pandapowerapi,2021-02-09 18:05:17.389840,180.0,,,
28,OSQP,ops,"['gha', 'pypi', 'conda', 'python', 'c', 'julia', 'octave', 'r', 'university']",,osqp/osqp,Apache-2,Operator Splitting QP Solver.,https://github.com/osqp/osqp,https://osqp.org,2016-09-27 03:02:46,2026-02-16 09:24:41.901000,2025-11-10 12:54:10,2982.0,393.0,112.0,2091.0,36.0,32,True,https://osqp.org/docs/get_started/,40.0,313.0,278.0,2026-01-26 21:12:22.000,1.1.0,46.0,,osqp,conda-forge/osqp,183161.0,3478260.0,150.0,,https://pypi.org/project/osqp,2026-02-11 18:07:14.000,150.0,3453487.0,https://anaconda.org/conda-forge/osqp,2026-02-16 09:24:41.901,1429846.0,2.0,,,,,,,,
29,PyPSA,steady-state,"['gha', 'pypi', 'conda', 'python', 'jupyter', 'university']",,PyPSA/PyPSA,MIT,Python for Power System Analysis.,https://github.com/PyPSA/PyPSA,https://pypsa.org,2016-01-11 09:04:18,2026-03-23 17:15:19.000000,2026-03-23 07:57:17,3242.0,614.0,106.0,1905.0,113.0,32,True,https://pypsa.readthedocs.io/en/latest/,68.0,1074.0,419.0,2026-02-23 17:00:38.000,1.1.2,85.0,76.0,pypsa,conda-forge/pypsa,,35143.0,319.0,319.0,https://pypi.org/project/pypsa,,,32032.0,https://anaconda.org/conda-forge/pypsa,2026-02-25 07:23:07.175,211614.0,1.0,,,,,,,,
30,PySCIPOpt,ops,"['gha', 'pypi', 'conda', 'python', 'lab']",,scipopt/PySCIPOpt,MIT,Python interface for SCIP.,https://github.com/scipopt/PySCIPOpt,https://www.scipopt.org/,2016-05-19 14:29:21,2026-03-18 12:50:00.000000,2026-03-18 11:52:37,2256.0,277.0,25.0,974.0,89.0,32,True,https://scipopt.github.io/PySCIPOpt/docs/html/,24.0,551.0,615.0,2026-02-05 23:26:15.000,6.1.0,75.0,43.0,PySCIPOpt,conda-forge/pyscipopt,,199529.0,525.0,431.0,https://pypi.org/project/PySCIPOpt,2026-02-05 23:22:05.000,94.0,188289.0,https://anaconda.org/conda-forge/pyscipopt,2026-02-05 15:08:15.705,685658.0,2.0,,,,,,,,
31,Power Grid Model,steady-state,"['gha', 'pypi', 'conda', 'python', 'c', 'jupyter', 'non-profit']",,PowerGridModel/power-grid-model,MPL-2.0,Steady-state distribution power system analysis.,https://github.com/PowerGridModel/power-grid-model,https://github.com/PowerGridModel/power-grid-model,2022-01-20 12:31:31,2026-03-23 13:51:49.000000,2026-03-22 10:08:53,10302.0,60.0,116.0,214.0,81.0,31,True,https://power-grid-model.readthedocs.io/en/stable/,5.0,1032.0,192.0,2026-03-22 11:31:20.000,1.13.28,825.0,474.0,power-grid-model,conda-forge/power-grid-model,1472.0,240356.0,51.0,38.0,https://pypi.org/project/power-grid-model,2026-03-22 11:31:20.000,13.0,106293.0,https://anaconda.org/conda-forge/power-grid-model,2026-03-23 08:15:05.520,4548174.0,1.0,,,,,,,,
32,OpenModelica,cosime,"['modelica', 'python', 'university']",,OpenModelica/OpenModelica,https://modelica.org/licenses/ModelicaLicense2/,Modelica-based environment for modeling and simulation.,https://github.com/OpenModelica/OpenModelica,https://openmodelica.org,2015-05-03 16:59:29,2026-03-23 17:35:38.000000,2026-03-23 17:35:37,38136.0,358.0,2150.0,1278.0,204.0,29,True,https://openmodelica.org/useresresources/userdocumentation,52.0,6061.0,6561.0,2026-02-25 20:10:17.000,1.26.3,41.0,221.0,,,507.0,492.0,,,,,,,,,,1.0,,openmodelica/openmodelica,https://hub.docker.com/r/openmodelica/openmodelica,2026-02-26 23:23:19.219524,63523.0,6.0,,
33,CVXOPT,opl,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'university']",,cvxopt/cvxopt,GPL-3,Python Software for Convex Optimization.,https://github.com/cvxopt/cvxopt,https://cvxopt.org/,2013-02-22 22:14:31,2026-03-13 14:50:05.929000,2026-03-02 19:44:15,64.0,210.0,40.0,1032.0,10.0,29,True,http://cvxopt.org/userguide/,38.0,75.0,155.0,2026-02-10 00:08:27.000,1.3.3,14.0,3.0,cvxopt,conda-forge/cvxopt,,817698.0,14729.0,14729.0,https://pypi.org/project/cvxopt,,,789207.0,https://anaconda.org/conda-forge/cvxopt,2026-03-13 14:50:05.929,1851958.0,2.0,,,,,,,,
34,SCS,ops,"['gha', 'pypi', 'conda', 'python', 'octave', 'julia', 'r', 'c', 'university']",,cvxgrp/scs,MIT,Splitting Conic Solver.,https://github.com/cvxgrp/scs,https://github.com/cvxgrp/scs,2013-11-29 23:11:16,2026-02-19 18:08:48.000000,2026-02-19 18:08:08,1301.0,141.0,43.0,619.0,32.0,28,True,https://www.cvxgrp.org/scs/,32.0,158.0,148.0,2026-01-09 17:52:41.000,3.2.11,48.0,9.0,scs,conda-forge/scs,,2588876.0,72.0,,https://pypi.org/project/scs,2026-01-09 17:52:41.000,72.0,2562967.0,https://anaconda.org/conda-forge/scs,2026-01-10 21:43:01.897,1658214.0,2.0,,,,,,,,
35,precice,cosime,"['gha', 'c', 'pypi', 'conda', 'university']",,precice/precice,LGPL-3.0,Precise Code Interaction Coupling Environment.,https://github.com/precice/precice,https://precice.org/,2015-05-22 14:05:22,2026-03-23 17:05:17.000000,2026-03-19 12:04:20,5639.0,268.0,204.0,909.0,76.0,26,True,https://precice.org/docs.html,35.0,1557.0,754.0,2026-01-14 15:28:58.000,3.3.1,36.0,64.0,pyprecice,conda-forge/pyprecice,42400.0,5984.0,8.0,,https://pypi.org/project/pyprecice,2025-10-16 08:59:43.000,8.0,2263.0,https://anaconda.org/conda-forge/pyprecice,2025-10-16 10:22:35.141,156126.0,3.0,,precice/precice,https://hub.docker.com/r/precice/precice,2026-03-23 05:01:04.668503,38401.0,,,
36,GridStatus,data,"['gha', 'pypi', 'python', 'for-profit']",,kmax12/gridstatus,BSD-3,Extract data from ISOs and other sources.,https://github.com/gridstatus/gridstatus,https://www.gridstatus.io,2022-07-28 19:24:20,2026-03-23 21:41:04.000000,2026-03-18 15:13:35,793.0,73.0,44.0,400.0,40.0,26,True,https://docs.gridstatus.io/en/latest/,10.0,688.0,90.0,2026-03-14 01:55:30.000,0.35.0,37.0,49.0,gridstatus,services/gridstatus,,72256.0,28.0,26.0,https://pypi.org/project/gridstatus,2026-03-14 01:55:30.000,2.0,72255.0,https://anaconda.org/services/gridstatus,2025-03-25 16:20:32.129,36.0,1.0,,,,,,,gridstatus/gridstatus,
37,pandapipes,gasnet,"['gha', 'pypi', 'jupyter', 'python', 'university']",,e2nIEE/pandapipes,BSD-3,Pipeflow Calculation Tool.,https://github.com/e2nIEE/pandapipes,https://www.pandapipes.org/,2020-02-03 15:04:57,2026-03-07 22:11:41.000000,2026-03-07 22:11:41,2276.0,77.0,92.0,211.0,29.0,26,True,https://jkpandapipes.readthedocs.io/en/latest/,9.0,576.0,89.0,2026-01-16 14:14:39.000,0.13.0,23.0,10.0,pandapipes,,,10064.0,53.0,39.0,https://pypi.org/project/pandapipes,2026-01-16 14:14:39.000,14.0,10064.0,,,,1.0,,,,,,,,
38,JuMP,opl,"['gha', 'jupyter', 'julia', 'non-profit']",,jump-dev/JuMP.jl,MPL-2.0,Julia-based Optimization Modeling Language.,https://github.com/jump-dev/JuMP.jl,https://jump.dev,2012-10-10 00:34:45,2026-03-22 01:33:31.000000,2026-03-22 00:48:20,5153.0,412.0,11.0,2418.0,171.0,25,True,https://jump.dev/JuMP.jl/stable/,82.0,2539.0,1514.0,2026-03-03 22:39:29.000,1.30.0,91.0,29.0,,,,,,,,,,,,,,3.0,,,,,,,,
39,Ipopt,ops,"['pypi', 'conda', 'python', 'non-profit']",,coin-or/Ipopt,EPL-2.0,COIN-OR Interior Point Optimizer.,https://github.com/coin-or/Ipopt,https://www.coin-or.org/,2019-01-28 12:24:22,2026-03-06 08:54:06.000000,2026-03-06 08:52:40,2431.0,309.0,13.0,1722.0,38.0,25,True,https://coin-or.github.io/Ipopt/,45.0,46.0,615.0,2025-07-30 10:34:09.000,releases/3.14.19,33.0,2.0,ipopt,conda-forge/ipopt,28888.0,36669.0,10.0,,https://pypi.org/project/ipopt,2021-04-07 07:03:48.000,10.0,1771.0,https://anaconda.org/conda-forge/ipopt,2026-02-17 01:36:21.548,2241992.0,3.0,,,,,,,,
40,VeraGrid,steady-state,"['gha', 'pypi', 'python', 'for-profit']",,SanPen/VeraGrid,MPL-2.0,"Cross-platform power systems software, power flows, investments analysis, optimization and plenty of other stuff.",https://github.com/SanPen/VeraGrid,https://www.eroots.tech/software,2016-01-13 15:40:10,2026-03-16 08:40:16.000000,2026-03-09 08:43:45,16127.0,123.0,28.0,519.0,59.0,25,True,https://veragrid.readthedocs.io/en/latest/?badge=latest,35.0,157.0,272.0,2026-02-02 21:46:39.000,5.4.0,28.0,11.0,veragrid,,59.0,1479.0,,,https://pypi.org/project/veragrid,2025-08-27 07:46:25.000,,1479.0,,,,1.0,,,,,,,,
41,Grid2Op,mrl,"['gha', 'pypi', 'jupyter', 'python', 'for-profit']",,rte-france/Grid2Op,MPL-2.0,Modeling sequential decision making in power systems.,https://github.com/Grid2op/grid2op,https://l2rpn.chalearn.org/,2019-10-10 17:04:46,2026-02-04 17:25:44.000000,2026-02-04 16:33:24,3526.0,142.0,60.0,415.0,32.0,25,True,https://grid2op.readthedocs.io/en/latest/,20.0,336.0,329.0,2026-02-04 17:14:47.000,1.12.3,92.0,15.0,Grid2Op,,,3099.0,23.0,,https://pypi.org/project/Grid2Op,2025-07-24 18:24:04.000,23.0,2965.0,,,,1.0,,bdonnot/grid2op,https://hub.docker.com/r/bdonnot/grid2op,2022-07-05 14:02:10.644952,10380.0,1.0,Grid2op/grid2op,
42,LTB ANDES,phasor,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'julia', 'university']",,CURENT/andes,GPL-3,Transient Stability Simulator; CURENT LTB.,https://github.com/CURENT/andes,https://ltb.curent.org/,2016-11-07 01:04:50,2026-03-12 17:07:29.000000,2026-03-11 21:12:53,4810.0,147.0,13.0,342.0,27.0,25,True,https://docs.andes.app/en/latest/,15.0,295.0,70.0,2026-03-12 17:07:29.000,2.0.0,117.0,182.0,andes,conda-forge/andes,,12707.0,33.0,29.0,https://pypi.org/project/andes,2026-03-12 17:07:29.000,4.0,2123.0,https://anaconda.org/conda-forge/andes,2026-03-10 08:05:51.720,740916.0,1.0,,CURENT/andes,https://hub.docker.com/r/CURENT/andes,,,,,
43,PowSyBl Core,steady-state,"['gha', 'java', 'non-profit']",,powsybl/powsybl-core,MPL-2.0,Framework to build power system software.,https://github.com/powsybl/powsybl-core,https://www.powsybl.org,2017-09-29 14:51:18,2026-03-23 16:02:49.000000,2026-03-23 07:39:31,3740.0,56.0,295.0,160.0,127.0,25,True,https://www.javadoc.io/doc/com.powsybl/powsybl-core/latest/,22.0,3169.0,484.0,2026-03-06 14:10:33.000,7.1.2,100.0,95.0,,,,,94.0,94.0,,,,,,,,1.0,,,,,,,,
44,CBC,ops,"['gha', 'conda', 'python', 'julia', 'c', 'non-profit']",,coin-or/Cbc,EPL-2.0,COIN-OR Branch-and-Cut solver.,https://github.com/coin-or/Cbc,https://www.coin-or.org/,2019-03-02 23:20:41,2026-03-21 22:49:40.000000,2026-03-21 22:43:42,2588.0,135.0,160.0,983.0,35.0,24,True,https://coin-or.github.io/Cbc/Doxygen/,39.0,90.0,394.0,2026-03-11 23:59:18.000,releases/2.10.13,15.0,40.0,,conda-forge/coincbc,303566.0,27761.0,,,,,,,https://anaconda.org/conda-forge/coincbc,2026-03-12 13:48:55.804,1563872.0,3.0,,,,,,,,
45,Clp,ops,"['gha', 'conda', 'python', 'julia', 'c', 'non-profit']",,coin-or/Cbc,EPL-2.0,COIN-OR Linear Programming Solver.,https://github.com/coin-or/Cbc,https://www.coin-or.org/,2019-03-02 23:20:41,2026-03-21 22:49:40.000000,2026-03-21 22:43:42,2588.0,135.0,160.0,983.0,35.0,24,True,https://coin-or.github.io/Clp/,39.0,90.0,394.0,2026-03-11 23:59:18.000,releases/2.10.13,12.0,40.0,,conda-forge/coin-or-clp,303566.0,25271.0,,,,,,,https://anaconda.org/conda-forge/coin-or-clp,2026-03-12 02:58:07.590,1423608.0,3.0,,,,,,,,
