,name,category,labels,resource,github_id,license,description,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,open_issue_count,star_count,contributor_count,projectrank,show,docs_url,watchers_count,pr_count,closed_issue_count,latest_stable_release_published_at,latest_stable_release_number,release_count,recent_commit_count,pypi_id,conda_id,github_release_downloads,monthly_downloads,dependent_project_count,github_dependent_project_count,pypi_url,pypi_latest_release_published_at,pypi_dependent_project_count,pypi_monthly_downloads,conda_url,conda_latest_release_published_at,conda_total_downloads,projectrank_placing,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,trending,dockerhub_stars,updated_github_id,gitlab_id,gitlab_url
74,PowerNetworkMatrices.jl,steady-state,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerNetworkMatrices.jl,BSD-3,Power systems matrices; NREL Sienna.,https://github.com/Sienna-Platform/PowerNetworkMatrices.jl,https://www.nlr.gov/analysis/sienna,2022-11-16 21:59:51,2026-06-22 20:21:47.000000,2026-06-22 20:13:01,1506.0,21.0,31.0,30.0,16.0,19,True,https://nrel-sienna.github.io/PowerNetworkMatrices.jl/stable/,4.0,205.0,96.0,2026-06-16 00:59:28.000,0.24.2,49.0,272.0,,,,,,,,,,,,,,2.0,,,,,,,Sienna-Platform/PowerNetworkMatrices.jl,,
75,LTB AMS,steady-state,"['gha', 'pypi', 'conda', 'jupyter', 'python', 'university']",,CURENT/ams,GPL-3,Scheduling Modeling and Simulation; CURENT LTB.,https://github.com/CURENT/ams,https://ltb.curent.org/,2022-10-05 11:57:30,2026-06-07 01:20:31.000000,2026-05-03 19:15:23,2999.0,8.0,9.0,24.0,6.0,19,True,https://ams.readthedocs.io/en/latest/,2.0,247.0,15.0,2026-05-03 19:24:58.000,1.3.0,45.0,194.0,ltbams,conda-forge/ltbams,136.0,1546.0,3.0,3.0,https://pypi.org/project/ltbams,2026-05-03 19:24:31.000,,318.0,https://anaconda.org/conda-forge/ltbams,2026-05-03 21:10:40.563,34245.0,2.0,,,,,,,,,
76,GasModels.jl,gasnet,"['gha', 'julia', 'lab']",,lanl-ansi/GasModels.jl,BSD-3,Gas Network Optimization.,https://github.com/lanl-ansi/GasModels.jl,https://github.com/lanl-ansi/GasModels.jl,2016-08-29 16:01:10,2026-06-25 19:59:56.000000,2026-06-25 19:44:14,1366.0,24.0,48.0,79.0,19.0,18,True,https://lanl-ansi.github.io/GasModels.jl/latest/,6.0,162.0,143.0,2026-05-13 15:40:48.000,0.13.1,33.0,98.0,,,,,,,,,,,,,,3.0,,,,,,,,,
77,TESP,steady-state,"['gha', 'python', 'jupyter', 'pypi', 'lab']",,pnnl/tesp,BSD-3,Transactive Energy Simulation Platform.,https://github.com/pnnl/tesp,https://github.com/pnnl/tesp,2017-03-28 16:41:17,2026-06-10 16:54:50.000000,2026-02-05 19:46:48,2389.0,42.0,36.0,49.0,31.0,18,True,https://tesp.readthedocs.io/en/latest/,16.0,65.0,96.0,2026-02-05 19:34:05.000,1.3.7,55.0,,tesp_support,,532.0,134.0,2.0,2.0,https://pypi.org/project/tesp_support,2026-02-05 19:34:05.000,,129.0,,,,3.0,,,,,-1.0,,,,
78,PyDSS,intf,"['gha', 'pypi', 'python', 'lab']",,NatLabRockies/PyDSS,BSD-3,A Python wrapper for OpenDSS.,https://github.com/NatLabRockies/PyDSS,https://www.nlr.gov/grid/pydss,2018-10-16 15:59:07,2026-06-16 22:31:20.000000,2026-06-16 21:31:04,985.0,29.0,15.0,41.0,24.0,18,True,https://natlabrockies.github.io/PyDSS/index.html,5.0,131.0,16.0,2026-06-16 21:31:53.000,3.1.10,22.0,26.0,pydss,,,47.0,3.0,3.0,https://pypi.org/project/pydss,2011-08-17 20:40:53.000,,47.0,,,,1.0,,,,,,,,,
79,PowerFlows.jl,steady-state,"['gha', 'julia', 'lab']",,NREL-Sienna/PowerFlows.jl,BSD-3,Collection of Power Flow solution; NREL Sienna.,https://github.com/Sienna-Platform/PowerFlows.jl,https://www.nlr.gov/analysis/sienna,2022-03-08 18:40:14,2026-06-25 04:55:54.000000,2026-06-24 23:49:56,552.0,24.0,56.0,29.0,18.0,18,True,https://nrel-sienna.github.io/PowerFlows.jl/dev/,4.0,236.0,135.0,2026-06-25 04:45:14.000,0.22.1,38.0,229.0,,,,,,,,,,,,,,3.0,,,,,1.0,,Sienna-Platform/PowerFlows.jl,,
80,matpowercaseframes,intf,"['gha', 'python', 'pypi', 'jupyter', 'university']",,UGM-EPSLab/matpowercaseframes,MIT,Parse MATPOWER case into pandas DataFrame.,https://github.com/UGM-EPSLab/matpowercaseframes,https://github.com/UGM-EPSLab/matpowercaseframes,2022-03-31 04:51:41,2026-06-03 01:53:43.000000,2026-06-03 01:53:43,273.0,3.0,5.0,6.0,9.0,18,True,,1.0,31.0,9.0,2026-04-01 23:03:42.000,2.1.0,26.0,6.0,matpowercaseframes,,,18456.0,48.0,41.0,https://pypi.org/project/matpowercaseframes,2026-04-01 23:03:42.000,7.0,18456.0,,,,1.0,,,,,,,,,
81,GenX,steady-state,"['julia', 'gha', 'university']",,GenXProject/GenX,GPL-2.0,Configurable capacity expansion model.,https://github.com/GenXProject/GenX.jl,https://energy.mit.edu/genx/,2021-05-19 17:57:57,2026-06-24 15:59:54.000000,2026-01-09 19:17:31,1135.0,144.0,69.0,357.0,37.0,17,True,https://genxproject.github.io/GenX/dev/,18.0,575.0,262.0,2025-07-11 18:02:01.000,0.4.5,17.0,,,,,,,,,,,,,,,3.0,,,,,,,GenXProject/GenX.jl,,
82,MadNLP,ops,"['gha', 'julia', 'university']",,MadNLP/MadNLP.jl,MIT,A solver for nonlinear programming with GPU support.,https://github.com/MadNLP/MadNLP.jl,https://github.com/MadNLP/MadNLP.jl,2020-09-16 23:07:35,2026-06-24 14:02:40.000000,2026-06-08 09:22:37,667.0,28.0,35.0,247.0,19.0,17,True,https://madnlp.github.io/MadNLP.jl/stable/,13.0,479.0,108.0,2026-05-31 11:24:56.000,0.10.1,35.0,20.0,,,,,,,,,,,,,,3.0,,,,,,,,,
83,PowerGenome,data,"['gha', 'pypi', 'conda', 'python']",,PowerGenome/PowerGenome,MIT,Create inputs for power systems models.,https://github.com/PowerGenome/PowerGenome,https://groups.io/g/powergenome,2019-07-18 17:33:40,2026-05-25 16:54:01.000000,2026-02-13 15:59:24,1825.0,72.0,98.0,235.0,18.0,17,True,https://github.com/PowerGenome/PowerGenome/wiki,19.0,262.0,101.0,2025-03-21 18:15:20.000,0.7.0,20.0,,PowerGenome,conda-forge/powergenome,,126.0,,,https://pypi.org/project/PowerGenome,2025-03-21 18:15:20.000,,68.0,https://anaconda.org/conda-forge/powergenome,2025-04-22 14:58:55.013,1694.0,3.0,,,,,,,,,
